ColleraID,PK,Collera,Ubicacion,Km_Desde,Km_Hasta
33-1,33,1,Recta,33.0,33.012
33-2,33,2,Recta,33.012,33.024
33-3,33,3,Recta,33.024,33.036
33-4,33,4,Recta,33.036,33.048
33-6,33,6,Recta,33.048,33.06
33-7,33,7,Recta,33.06,33.072
33-8,33,8,Recta,33.072,33.084
33-9,33,9,Recta,33.084,33.096
33-10,33,10,Recta,33.096,33.108
33-11,33,11,Recta,33.108,33.12
33-12,33,12,Recta,33.12,33.132
33-13,33,13,Recta,33.132,33.144
33-15,33,15,Recta,33.144,33.156
33-16,33,16,Recta,33.156,33.168
33-17,33,17,Recta,33.168,33.18
33-18,33,18,Recta,33.18,33.192
33-19,33,19,Recta,33.192,33.204
33-20,33,20,Recta,33.204,33.216
33-21,33,21,Curva,33.216,33.228
33-23,33,23,Recta,33.228,33.24
33-24,33,24,Recta,33.24,33.252
33-25,33,25,Recta,33.252,33.264
33-26,33,26,Recta,33.264,33.276
33-27,33,27,Recta,33.276,33.288
33-29,33,29,Recta,33.288,33.3
33-30,33,30,Recta,33.3,33.312
33-33,33,33,Recta,33.312,33.324
33-35,33,35,Recta,33.324,33.336
33-36,33,36,Recta,33.336,33.348
33-37,33,37,Recta,33.348,33.36
33-38,33,38,Recta,33.36,33.372
33-41,33,41,Recta,33.372,33.384
33-42,33,42,Recta,33.384,33.396
33-43,33,43,Recta,33.396,33.408
33-44,33,44,Recta,33.408,33.42
33-45,33,45,Recta,33.42,33.432
33-46,33,46,Recta,33.432,33.444
33-47,33,47,Recta,33.444,33.456
33-48,33,48,Recta,33.456,33.468
33-49,33,49,Recta,33.468,33.48
33-50,33,50,Recta,33.48,33.492
33-51,33,51,Recta,33.492,33.504
33-52,33,52,Recta,33.504,33.516
33-53,33,53,Recta,33.516,33.528
33-55,33,55,Recta,33.528,33.54
33-56,33,56,Recta,33.54,33.552
33-57,33,57,Recta,33.552,33.564
33-58,33,58,Recta,33.564,33.576
33-59,33,59,Recta,33.576,33.588
33-60,33,60,Recta,33.588,33.6
33-61,33,61,Recta,33.6,33.612
33-62,33,62,Recta,33.612,33.624
33-63,33,63,Recta,33.624,33.636
33-64,33,64,Recta,33.636,33.648
33-65,33,65,Recta,33.648,33.66
33-66,33,66,Recta,33.66,33.672
33-67,33,67,Recta,33.672,33.684
33-68,33,68,Recta,33.684,33.696
33-69,33,69,Recta,33.696,33.708
33-70,33,70,Recta,33.708,33.72
33-71,33,71,Recta,33.72,33.732
33-72,33,72,Recta,33.732,33.744
33-73,33,73,Recta,33.744,33.756
33-74,33,74,Recta,33.756,33.768
33-75,33,75,Recta,33.768,33.78
33-76,33,76,Recta,33.78,33.792
33-79,33,79,Recta,33.792,33.804
33-80,33,80,Principio Curva < 1000,33.804,33.816
33-81,33,81,Curva < 1000,33.816,33.828
33-82,33,82,Curva < 1000,33.828,33.84
33-83,33,83,Curva < 1000,33.84,33.852
33-84,33,84,Curva < 1000,33.852,33.864
33-85,33,85,Curva < 1000,33.864,33.876
33-86,33,86,Principio Curva Circular < 1000,33.876,33.888
33-87,33,87,Curva < 1000,33.888,33.9
33-88,33,88,Curva < 1000,33.9,33.912
33-89,33,89,Curva < 1000,33.912,33.924
33-90,33,90,Curva < 1000,33.924,33.936
33-91,33,91,Curva < 1000,33.936,33.948
33-92,33,92,Curva < 1000,33.948,33.96
33-93,33,93,Curva < 1000,33.96,33.972
33-94,33,94,Curva < 1000,33.972,33.984
33-95,33,95,Curva < 1000,33.984,33.996
33-96,33,96,Curva < 1000,33.996,34.008
33-97,33,97,Curva < 1000,34.008,34.02
33-98,33,98,Curva < 1000,34.02,34.032
33-99,33,99,Curva < 1000,34.032,34.044
34-1,34,1,Recta,34.0,34.012
34-2,34,2,Recta,34.012,34.024
34-3,34,3,Recta,34.024,34.036
