Actividad,Unidad,Anio,Mes,CantidadPlanificada
Inspección Vía,Kmv,2026,9,430.56
Inspección Vía,Kmv,2026,10,46.644
Inspección Vía,Kmv,2026,11,46.644
Inspección Vía,Kmv,2026,12,46.644
Inspección Vía,Kmv,2027,1,46.644
Inspección Vía,Kmv,2027,2,46.644
Inspección Vía,Kmv,2027,3,46.644
Inspección Vía,Kmv,2027,4,25.116
Inspección Vía,Kmv,2027,5,25.116
Inspección Vía,Kmv,2027,6,25.116
Inspección Vía,Kmv,2027,7,25.116
Inspección Vía,Kmv,2027,8,25.116
Inspección de Desviador,Und,2026,9,60
Inspección de Desviador,Und,2026,10,5.5
Inspección de Desviador,Und,2026,11,5.5
Inspección de Desviador,Und,2026,12,5.5
Inspección de Desviador,Und,2027,1,5.5
Inspección de Desviador,Und,2027,2,5.5
Inspección de Desviador,Und,2027,3,5.5
Inspección de Desviador,Und,2027,4,4.5
Inspección de Desviador,Und,2027,5,4.5
Inspección de Desviador,Und,2027,6,4.5
Inspección de Desviador,Und,2027,7,4.5
Inspección de Desviador,Und,2027,8,4.5
Reemplazo de Durmientes Común,Und,2026,9,1174
Reemplazo de Durmientes Común,Und,2026,10,127.183
Reemplazo de Durmientes Común,Und,2026,11,127.183
Reemplazo de Durmientes Común,Und,2026,12,127.183
Reemplazo de Durmientes Común,Und,2027,1,127.183
Reemplazo de Durmientes Común,Und,2027,2,127.183
Reemplazo de Durmientes Común,Und,2027,3,127.183
Reemplazo de Durmientes Común,Und,2027,4,68.483
Reemplazo de Durmientes Común,Und,2027,5,68.483
Reemplazo de Durmientes Común,Und,2027,6,68.483
Reemplazo de Durmientes Común,Und,2027,7,68.483
Reemplazo de Durmientes Común,Und,2027,8,68.483
Mantenimiento de geometría vía,mlv,2026,9,8397.578
Mantenimiento de geometría vía,mlv,2026,10,909.738
Mantenimiento de geometría vía,mlv,2026,11,909.738
Mantenimiento de geometría vía,mlv,2026,12,909.738
Mantenimiento de geometría vía,mlv,2027,1,909.738
Mantenimiento de geometría vía,mlv,2027,2,909.738
Mantenimiento de geometría vía,mlv,2027,3,909.738
Mantenimiento de geometría vía,mlv,2027,4,489.859
Mantenimiento de geometría vía,mlv,2027,5,489.859
Mantenimiento de geometría vía,mlv,2027,6,489.859
Mantenimiento de geometría vía,mlv,2027,7,489.859
Mantenimiento de geometría vía,mlv,2027,8,489.859
